Date,ES1 
1/2/2009,925.5
1/5/2009,927.5
1/6/2009,930.5
1/7/2009,905.25
1/8/2009,906.75
1/9/2009,885.5
1/12/2009,868
1/13/2009,868.5
1/14/2009,839.75
1/15/2009,839.25
1/16/2009,848.5
1/20/2009,806
1/21/2009,836.75
1/22/2009,825.5
1/23/2009,823.5
1/26/2009,830.75
1/27/2009,839.25
1/28/2009,871.5
1/29/2009,842.75
1/30/2009,822.5
2/2/2009,821.25
2/3/2009,831.5
2/4/2009,829.75
2/5/2009,840.5
2/6/2009,867.75
2/9/2009,865
2/10/2009,827
2/11/2009,831.5
2/12/2009,835.5
2/13/2009,820
2/17/2009,785.5
2/18/2009,779.5
2/19/2009,779.5
2/20/2009,769.5
2/23/2009,745
2/24/2009,768.75
2/25/2009,761.5
2/26/2009,752
2/27/2009,734.25
3/2/2009,705.5
3/3/2009,689.5
3/4/2009,708.5
3/5/2009,686
3/6/2009,687.75
3/9/2009,676
3/10/2009,716
3/11/2009,720.5
3/12/2009,751.5
3/13/2009,757.75
3/16/2009,757.25
3/17/2009,778.75
3/18/2009,795.5
3/19/2009,784.25
3/20/2009,789.4
3/23/2009,817.25
3/24/2009,803.5
3/25/2009,808.25
3/26/2009,827.25
3/27/2009,816
3/30/2009,784.25
3/31/2009,794.75
4/1/2009,809.25
4/2/2009,835.5
4/3/2009,840.5
4/6/2009,830.5
4/7/2009,814
4/8/2009,822.5
4/9/2009,852.5
4/13/2009,854
4/14/2009,840.25
4/15/2009,848.5
4/16/2009,861.5
4/17/2009,866.75
4/20/2009,833
4/21/2009,847.75
4/22/2009,837
4/23/2009,848.75
4/24/2009,866.5
4/27/2009,856.75
4/28/2009,851.75
4/29/2009,869
4/30/2009,870
5/1/2009,876
5/4/2009,902.75
5/5/2009,903.5
5/6/2009,917.25
5/7/2009,907
5/8/2009,924.75
5/11/2009,909
5/12/2009,906.75
5/13/2009,885.25
5/14/2009,889.5
5/15/2009,883
5/18/2009,907
5/19/2009,906.5
5/20/2009,900
5/21/2009,888.75
5/22/2009,885
5/26/2009,908.75
5/27/2009,892.5
