Date,IXY1,IXR1,IXP1,IXA1,IXC1,IXI1,IXT1,IXD1,IXS1
3/21/2011,379.2,289.2,774.2,161.6,320,364.2,251.8,400.7,309.2
3/22/2011,378.8,289.2,773.9,161.65,320.6,363.9,252.2,401.5,310
3/23/2011,380,290,774.8,161.05,320.3,363,253.1,403.9,309.8
3/24/2011,382.5,292.7,775.5,161.6,322.4,366,256.4,406.2,311.1
3/25/2011,385.1,293,784.8,162.05,323.5,366.2,257.4,408.7,311.9
3/28/2011,383.9,292.3,783.3,161.9,325.5,367.1,257.3,408.7,310.8
3/29/2011,384,292.6,792.4,161.95,326.8,369,258.1,410.9,310.9
3/30/2011,388.8,293.7,795.9,163.85,327.6,371.3,259.1,415.7,315.2
3/31/2011,388.8,295.4,795.8,162.7,329.4,373.9,259.6,418.9,316
4/1/2011,389.5,296.3,796.9,163.4,329.5,375.9,259.2,420.1,316.6
4/4/2011,391.5,296.6,798.2,163.9,332.7,377.2,258.9,422.8,317.6
4/5/2011,391.9,297.2,799.9,163.95,331.7,376.1,257.8,426,316.9
4/6/2011,392.9,297.9,794.4,165.3,332.1,376.4,259.3,424,317.5
4/7/2011,391.5,298.6,793.7,165.15,331.9,375,259.8,421.8,317.8
4/8/2011,389.8,298.4,794.5,163.9,332.2,373.2,259.6,420.7,317.2
4/11/2011,388.8,299.8,780.1,163.75,333.5,371.8,259,415.8,314.8
4/12/2011,388.2,299.9,756,162.75,333.3,369.7,256.2,412.2,314.7
4/13/2011,389.6,300.3,756.7,161.5,332.3,368.5,256.4,409.3,313.7
4/14/2011,389.1,302,759.7,160.45,333.7,367.2,256,408.7,315
4/15/2011,392.6,302.4,768.3,160.5,335.4,367.3,256.1,412.1,316.4
4/18/2011,387.6,302.3,761.3,158.4,333.8,365.5,254.2,406.5,315.2
4/19/2011,388.5,303.4,765.6,158.6,336.5,366.5,254.4,411.3,315.4
4/20/2011,394.5,305,784.6,159,337.8,370.5,259.4,415.1,317.4
4/21/2011,396.9,305,786,159.7,339.9,371.1,260.8,419.9,319.5
4/25/2011,396.4,304.1,785.8,159.7,341,372.6,261.9,419.7,320.1
4/26/2011,396.9,306.2,790,160.1,342.9,378.8,262.9,421.1,322.5
4/27/2011,399.4,306.9,790.6,161.6,348.3,380.8,265.1,421.8,324.7
4/28/2011,403.2,308.8,790,162.5,348.5,381.9,265.4,423.5,327.3
4/29/2011,404.1,311.2,803,162.7,351,384.1,266.5,427.1,328.9
5/2/2011,405.3,311.2,789,162.2,354.5,383.5,265.9,425.1,329
5/3/2011,403.3,312,770.2,162.65,353.4,381.1,265.8,419.4,330.7
5/4/2011,400.2,312.1,759.7,161.3,352.8,375.7,264.3,413.6,330.7
5/5/2011,400.6,311.6,742.5,159.25,350.8,374.7,263.4,407.8,328.2
5/6/2011,401,311.5,746.1,159.85,354.3,378.9,265.4,411.1,329.6
5/9/2011,401.5,311.2,758.1,159.65,355.8,379.4,264.8,415.9,331.1
5/10/2011,404.7,312,762.7,161.15,355.8,381,266.6,418.5,334.3
5/11/2011,403.9,312.4,742.3,158.95,356.9,379.3,266.5,410.4,333.5
5/12/2011,405.2,315.7,741.2,158.95,357.3,379.1,266.8,409.8,335.9
5/13/2011,404,317.1,737.3,156.65,358,375.1,264.5,406.3,335.9
5/16/2011,399.3,316.8,731,156.35,358.5,373.5,260.7,403.7,336.2
5/17/2011,399.2,317.9,728.5,157.25,359.6,369,260.7,399,338.8
5/18/2011,402,318.6,743.6,158.1,360.8,370.6,260.7,405.3,337.4
5/19/2011,402.6,319.5,743.4,158.35,361.5,374.2,262,406.6,337.8
5/20/2011,401.4,318.8,743.2,156.05,361.1,372.1,261.4,402,338.1
5/23/2011,398.4,316.7,732.4,153.95,354.8,366.2,257.6,399.1,336.1
5/24/2011,397.4,317,741.5,153.65,354.2,365.5,257,401.7,335.6
