Date,HedgedPortfolio
5/2/2011,100000000.00
5/3/2011,100253739.00
5/4/2011,99926074.00
5/5/2011,99817185.00
5/6/2011,100326383.00
5/9/2011,100080935.00
5/10/2011,100102015.00
5/11/2011,99236947.00
5/12/2011,98600698.00
5/13/2011,99108486.00
5/16/2011,99460771.00
5/17/2011,99514940.00
5/18/2011,99094643.00
5/19/2011,98360092.00
5/20/2011,98548072.00
5/23/2011,98758288.00
5/24/2011,99545970.00
5/25/2011,99700725.00
5/26/2011,98989032.00
5/27/2011,99577203.00
5/31/2011,99639111.00
6/1/2011,99447868.00
6/2/2011,99442029.00
6/3/2011,99866258.00
6/6/2011,99669466.00
6/7/2011,99805071.00
6/8/2011,99984965.00
6/9/2011,100007125.00
6/10/2011,100393116.00
6/13/2011,100202964.00
6/14/2011,100081624.00
6/15/2011,100246589.00
6/16/2011,100100119.00
6/17/2011,99554624.00
6/20/2011,100128307.00
6/21/2011,99862828.00
6/22/2011,99523299.00
6/23/2011,98750081.00
6/24/2011,98710106.00
6/27/2011,98142437.00
6/28/2011,97584099.00
6/29/2011,99339122.00
6/30/2011,99083933.00
7/1/2011,99544049.00
7/5/2011,99235946.00
7/6/2011,99052648.00
7/7/2011,98963055.00
7/8/2011,99320968.00
7/11/2011,98992758.00
7/12/2011,99244034.00
7/13/2011,99770521.00
7/14/2011,100009439.00
7/15/2011,99491520.00
7/18/2011,99822832.00
7/19/2011,99216507.00
7/20/2011,99230173.00
7/21/2011,99648022.00
7/22/2011,99645620.00
7/25/2011,100112204.00
7/26/2011,100122973.00
7/27/2011,100121730.00
7/28/2011,100037780.00
7/29/2011,99308840.00
8/1/2011,99403267.00
8/2/2011,99382529.00
8/3/2011,99471257.00
8/4/2011,98957447.00
8/5/2011,98710506.00
8/8/2011,99585565.00
8/9/2011,98997124.00
8/10/2011,97794771.00
8/11/2011,98173201.00
8/12/2011,97851024.00
8/15/2011,98499946.00
8/16/2011,98054242.00
8/17/2011,98309059.00
8/18/2011,98203303.00
8/19/2011,98769726.00
8/22/2011,98330250.00
8/23/2011,97645928.00
8/24/2011,98120583.00
8/25/2011,97917348.00
8/26/2011,97456924.00
8/29/2011,97230280.00
8/30/2011,98191254.00
8/31/2011,97947768.00
9/1/2011,98114127.00
9/2/2011,98223743.00
9/6/2011,98003419.00
9/7/2011,97668265.00
9/8/2011,97551199.00
9/9/2011,97444521.00
9/12/2011,97300340.00
9/13/2011,97109684.00
9/14/2011,97318353.00
9/15/2011,97204188.00
9/16/2011,96642820.00
9/19/2011,96772788.00
9/20/2011,96825651.00
9/21/2011,97052199.00
9/22/2011,96538731.00
9/23/2011,96470241.00
9/26/2011,96122040.00
9/27/2011,96330587.00
9/28/2011,95987198.00
9/29/2011,96567906.00
9/30/2011,96714480.00
10/3/2011,96955845.00
10/4/2011,96634897.00
10/5/2011,96360381.00
10/6/2011,96442303.00
10/7/2011,95806685.00
10/10/2011,95929680.00
10/11/2011,95796867.00
10/12/2011,96276670.00
10/13/2011,96138269.00
10/14/2011,96172322.00
10/17/2011,96069202.00
10/18/2011,96056457.00
10/19/2011,95921063.00
10/20/2011,96555731.00
10/21/2011,96660233.00
10/24/2011,96462899.00
10/25/2011,96042090.00
10/26/2011,97066342.00
10/27/2011,98127284.00
10/28/2011,98905349.00
10/31/2011,98399887.00
11/1/2011,97587167.00
11/2/2011,98308259.00
11/3/2011,98568327.00
11/4/2011,98643426.00
11/7/2011,98831600.00
11/8/2011,99016470.00
11/9/2011,99236165.00
11/10/2011,99636390.00
11/11/2011,100441236.00
11/14/2011,99861276.00
11/15/2011,100346499.00
11/16/2011,100110902.00
