"","stocks","beta"
"1","MMM","0.67735136020832"
"2","ABT","0.216765586740402"
"3","ABBV","0.264431191918461"
"4","ANF","0.272729389917843"
"5","ACE","0.546263455920665"
"6","ACN","0.454719440121339"
"7","ACT","0.695921931856408"
"8","ADBE","0.273967660007762"
"9","ADT","0.262895223726915"
"10","AES","0.0818361264380823"
"11","AET","0.344428026161922"
"12","AFL","0.346110405360492"
"13","A","0.291023092965431"
"14","GAS","0.269107988660825"
"15","APD","0.600033226021356"
"16","ARG","0.617875545239295"
"17","AKAM","0.266477291892864"
"18","AA","0.0583213721624432"
"19","ALXN","0.67476444015342"
"20","ATI","0.210226236938991"
"21","AGN","0.631618632274992"
"22","ALL","0.284026151835118"
"23","ALTR","0.225794298808171"
"24","MO","0.215705188730434"
"25","AMZN","1.78500740075929"
"26","AEE","0.21304339688485"
"27","AEP","0.280120065084031"
"28","AXP","0.434817317237215"
"29","AIG","0.259005419927766"
"30","AMT","0.478044766073393"
"31","AMP","0.477143931839004"
"32","ABC","0.32580732482519"
"33","AME","0.2633568502247"
"34","AMGN","0.606294813137066"
"35","APH","0.455437135983056"
"36","APC","0.53136339329201"
"37","ADI","0.280127863002798"
"38","AON","0.399428727327088"
"39","APA","0.561402998682954"
"40","AIV","0.176959058236821"
"41","AAPL","3.37983112828965"
"42","AMAT","0.089266354009186"
"43","ADM","0.213941308154948"
"44","AIZ","0.300410078677658"
"45","T","0.217763997482181"
"46","ADSK","0.249916229498163"
"47","ADP","0.415903259228655"
"48","AN","0.285885848569906"
"49","AZO","2.6426226070802"
"50","AVB","0.849458324733503"
"51","AVY","0.247133843045619"
"52","AVP","0.121814422604002"
"53","BHI","0.307097590462838"
"54","BLL","0.290485357597904"
"55","BAC","0.0756794338583616"
"56","BK","0.175023308256854"
"57","BCR","0.70798657827903"
"58","BAX","0.415917411146827"
"59","BBT","0.207248084800536"
"60","BEAM","0.406346438400219"
"61","BDX","0.580340305125055"
"62","BBBY","0.445837665642113"
"63","BMS","0.232215272134893"
"64","BRK.B","0.654950393449528"
"65","BBY","0.165945589639838"
"66","BIIB","1.22831820100884"
"67","BLK","1.52646878497325"
"68","HRB","0.147939632310785"
"69","BA","0.601618859047861"
"70","BWA","0.273212120548398"
"71","BXP","0.668875211378006"
"72","BSX","0.0536680605928632"
"73","BMY","0.255782854420232"
"74","BRCM","0.210401622236225"
"75","BF.B","0.433780268669192"
"76","CHRW","0.386545728602351"
"77","CA","0.174940061761176"
"78","CVC","0.0988464174012597"
"79","COG","0.186007108196781"
"80","CAM","0.373737446115867"
"81","CPB","0.250153632189499"
"82","COF","0.39426264116297"
"83","CAH","0.308408398621857"
"84","CFN","0.21132845751328"
"85","KMX","0.2615804798777"
"86","CCL","0.225239008147571"
"87","CAT","0.577823656025714"
"88","CBG","0.140281698471219"
"89","CBS","0.286915866299457"
"90","CELG","0.714063105277241"
"91","CNP","0.140343150460561"
"92","CTL","0.226443783384812"
"93","CERN","0.293695058863119"
"94","CF","1.30896423724815"
"95","SCHW","0.114743253572124"
"96","CHK","0.141116601272103"
"97","CVX","0.738497709594126"
"98","CMG","2.53061713851765"
"99","CB","0.528126011790863"
"100","CI","0.409299890114655"
"101","CINF","0.276266161259069"
"102","CTAS","0.291578603201358"
"103","CSCO","0.134425477687804"
"104","C","0.2750587272373"
"105","CTXS","0.455699436405646"
"106","CLF","0.223608124686942"
"107","CLX","0.508996713225577"
"108","CME","0.39315308070152"
"109","CMS","0.162422035136111"
"110","COH","0.375709175913948"
"111","KO","0.248355607531289"
"112","CCE","0.223876760927595"
"113","CTSH","0.489226737787845"
"114","CL","0.361841234393923"
"115","CMCSA","0.254258815489326"
"116","CMA","0.234143163876014"
"117","CSC","0.267061850674956"
